date,state,fips,cases,deaths
9/9/2020,Alaska,2,6735,39
9/10/2020,Alaska,2,6860,39
9/11/2020,Alaska,2,6968,40
9/12/2020,Alaska,2,7074,41
9/13/2020,Alaska,2,7136,41
9/14/2020,Alaska,2,7213,41
9/15/2020,Alaska,2,7256,41
9/16/2020,Alaska,2,7308,41
9/17/2020,Alaska,2,7413,41
9/18/2020,Alaska,2,7528,42
9/19/2020,Alaska,2,7613,42
9/20/2020,Alaska,2,7704,42
9/21/2020,Alaska,2,7775,42
9/22/2020,Alaska,2,7821,42
9/23/2020,Alaska,2,7875,42
9/24/2020,Alaska,2,8015,43
9/25/2020,Alaska,2,8133,48
9/26/2020,Alaska,2,8244,48
9/27/2020,Alaska,2,8359,52
9/28/2020,Alaska,2,8477,52
9/29/2020,Alaska,2,8602,52
9/30/2020,Alaska,2,8707,52
10/1/2020,Alaska,2,8838,53
10/2/2020,Alaska,2,8964,53
10/3/2020,Alaska,2,9111,54
10/4/2020,Alaska,2,9300,54
10/5/2020,Alaska,2,9511,54
10/6/2020,Alaska,2,9656,54
10/7/2020,Alaska,2,9784,55
10/8/2020,Alaska,2,9919,56
10/9/2020,Alaska,2,10099,56
10/10/2020,Alaska,2,10350,56
10/11/2020,Alaska,2,10608,56
10/12/2020,Alaska,2,10805,56
10/13/2020,Alaska,2,10960,56
10/14/2020,Alaska,2,11103,60
10/15/2020,Alaska,2,11268,61
10/16/2020,Alaska,2,11496,62
10/17/2020,Alaska,2,11710,63
10/18/2020,Alaska,2,11934,63
10/19/2020,Alaska,2,12138,63
10/20/2020,Alaska,2,12349,63
10/21/2020,Alaska,2,12559,64
10/22/2020,Alaska,2,12790,64
10/23/2020,Alaska,2,13067,64
10/24/2020,Alaska,2,13439,64
10/25/2020,Alaska,2,13968,64
10/26/2020,Alaska,2,14316,64
10/27/2020,Alaska,2,14699,66
10/28/2020,Alaska,2,15053,67
10/29/2020,Alaska,2,15417,72
10/30/2020,Alaska,2,15803,76
10/31/2020,Alaska,2,16247,77
11/1/2020,Alaska,2,16597,78
11/2/2020,Alaska,2,16948,79
11/3/2020,Alaska,2,17339,79
11/4/2020,Alaska,2,17750,79
11/5/2020,Alaska,2,18064,79
11/6/2020,Alaska,2,18589,79
11/7/2020,Alaska,2,19194,79
11/8/2020,Alaska,2,19712,79
11/9/2020,Alaska,2,20185,79
11/10/2020,Alaska,2,20715,87
11/11/2020,Alaska,2,21211,90
11/12/2020,Alaska,2,21689,90
11/13/2020,Alaska,2,22282,91
11/14/2020,Alaska,2,23029,92
11/15/2020,Alaska,2,23688,92
11/16/2020,Alaska,2,24268,92
11/17/2020,Alaska,2,24909,94
11/18/2020,Alaska,2,25454,94
11/19/2020,Alaska,2,25946,95
11/20/2020,Alaska,2,26403,95
11/21/2020,Alaska,2,27079,95
11/22/2020,Alaska,2,27629,97
11/23/2020,Alaska,2,28128,97
11/24/2020,Alaska,2,28708,110
11/25/2020,Alaska,2,29386,110
11/26/2020,Alaska,2,29940,113
11/27/2020,Alaska,2,30612,113
11/28/2020,Alaska,2,31279,115
11/29/2020,Alaska,2,31896,115
11/30/2020,Alaska,2,32407,115
12/1/2020,Alaska,2,32911,116
12/2/2020,Alaska,2,33614,116
12/3/2020,Alaska,2,34377,124
12/4/2020,Alaska,2,35138,135
12/5/2020,Alaska,2,36083,136
12/6/2020,Alaska,2,36847,136
12/7/2020,Alaska,2,37350,139
12/8/2020,Alaska,2,37923,139
12/9/2020,Alaska,2,38510,143
12/10/2020,Alaska,2,39146,148
12/11/2020,Alaska,2,39773,151
12/12/2020,Alaska,2,40293,169
12/13/2020,Alaska,2,40934,169
12/14/2020,Alaska,2,41363,169
12/15/2020,Alaska,2,41645,172
12/16/2020,Alaska,2,42256,174
12/17/2020,Alaska,2,42639,176
12/18/2020,Alaska,2,43132,176
12/19/2020,Alaska,2,43468,177
12/20/2020,Alaska,2,43649,176
12/21/2020,Alaska,2,43801,176
12/22/2020,Alaska,2,44241,186
12/23/2020,Alaska,2,44602,189
12/24/2020,Alaska,2,44876,191
12/25/2020,Alaska,2,44876,191
12/26/2020,Alaska,2,45247,192
12/27/2020,Alaska,2,45547,192
12/28/2020,Alaska,2,45674,192
12/29/2020,Alaska,2,45856,193
12/30/2020,Alaska,2,46241,195
12/31/2020,Alaska,2,46740,198
1/1/2021,Alaska,2,46740,198
1/2/2021,Alaska,2,47549,207
1/3/2021,Alaska,2,47846,207
1/4/2021,Alaska,2,48110,209
